iter	Logloss
0	0.667097282
1	0.6431360351
2	0.6208027918
3	0.5997909141
4	0.580505385
5	0.5626612011
6	0.5462193039
7	0.5312338795
8	0.5173837601
9	0.5045340302
10	0.4927483071
11	0.4818995323
12	0.4717919971
13	0.4625682672
14	0.4540582714
15	0.4462065628
16	0.438939617
17	0.4321007974
18	0.4258403947
19	0.4199863675
20	0.4145865696
21	0.4096906314
22	0.4050519183
23	0.4005755795
24	0.3963917545
25	0.3925411808
26	0.3890364755
27	0.3856392719
28	0.3824949603
29	0.3797039818
30	0.3770679765
31	0.3744967859
32	0.3720852477
33	0.3698545148
34	0.3678414681
35	0.3658522498
36	0.3641059961
37	0.3624628684
38	0.3608869026
39	0.3593282823
40	0.3578808221
41	0.3565330282
42	0.3551792765
43	0.3540549824
44	0.3529013693
45	0.351773689
46	0.3507831894
47	0.3498593074
48	0.3490542714
49	0.3480708217
50	0.3472210102
51	0.34646507
52	0.3457728947
53	0.3450471253
54	0.3443946268
55	0.343754667
56	0.3431919829
57	0.3426118845
58	0.3420557411
59	0.3416079831
60	0.3411616484
61	0.3407501744
62	0.3402973162
63	0.3398679523
64	0.3394975583
65	0.3390695489
66	0.3386657207
67	0.3383367461
68	0.3379741202
69	0.3376282165
70	0.3373513291
71	0.337083265
72	0.3367778997
73	0.3365320623
74	0.3362320572
75	0.3359907461
76	0.3357119698
77	0.335480218
78	0.3352208411
79	0.3349606103
80	0.3347110462
81	0.3344520447
82	0.3342221712
83	0.3340481406
84	0.3338822841
85	0.3336798644
86	0.3334978632
87	0.3333756512
88	0.3331806107
89	0.333044894
90	0.3328804403
91	0.3327055031
92	0.3325798725
93	0.3324087722
94	0.3322603227
95	0.3321088929
96	0.331938099
97	0.331775901
98	0.3316434058
99	0.3315125273
100	0.3314134415
101	0.3313071567
102	0.3311898946
103	0.3310612664
104	0.331012561
105	0.3309481501
106	0.3308171526
107	0.3307074119
108	0.3305866245
109	0.3304553848
110	0.3303997563
111	0.3302947762
112	0.3301981204
113	0.3301528682
114	0.3300747137
115	0.3299447705
116	0.3298628029
117	0.3297919059
118	0.3297163606
119	0.329664873
120	0.3295781086
121	0.3294938688
122	0.3294015772
123	0.3293336858
124	0.3292676304
125	0.3292200106
126	0.329159327
127	0.3290865006
128	0.3290013663
129	0.3289571498
130	0.328856765
131	0.3288121128
132	0.3287623338
133	0.3286993885
134	0.3286658667
135	0.3285973542
136	0.328513795
137	0.328429335
138	0.3283777602
139	0.3283229515
140	0.3282820841
141	0.3282295382
142	0.3282027256
143	0.3281637544
144	0.3280975518
145	0.3280253311
146	0.3279768838
147	0.3279347132
148	0.3278853287
149	0.3277995168
150	0.3277353863
151	0.3276606501
152	0.327651591
153	0.327628336
154	0.3275975379
155	0.3275618697
156	0.3275177045
157	0.3274574977
158	0.327421363
159	0.3273612579
160	0.3273162494
161	0.3272661343
162	0.3272036792
163	0.3271683336
164	0.3271151598
165	0.327069321
166	0.3270251721
167	0.3270021036
168	0.3269668412
169	0.3269189521
170	0.3268558524
171	0.3268120599
172	0.3267795287
173	0.3267565406
174	0.3267315062
175	0.3267121882
176	0.3266959775
177	0.3266500331
178	0.3266176411
179	0.3265823245
180	0.3265665574
181	0.3265310206
182	0.3265011239
183	0.3264726992
184	0.3264414382
185	0.3264376968
186	0.3264191809
187	0.3264003443
188	0.3263713349
189	0.3263339171
190	0.3262707871
191	0.3262090413
192	0.3261556418
193	0.3261154629
194	0.3261001286
195	0.3260748757
196	0.3260560184
197	0.3260357126
198	0.3260271438
199	0.3260073106
200	0.3259919207
201	0.325965218
202	0.3259374442
203	0.325878861
204	0.3258540452
205	0.325825784
206	0.3258149228
207	0.3257951579
208	0.3257876917
209	0.3257422806
210	0.3257099119
211	0.3256717894
212	0.3256485987
213	0.3256242259
214	0.3255799023
215	0.3255603816
216	0.3255481009
217	0.3255406287
218	0.3255097889
219	0.3254912022
220	0.3254729736
221	0.3254340631
222	0.3253988094
223	0.3253705401
224	0.3253247285
225	0.3253005166
226	0.3252677154
227	0.3252603065
228	0.3252473172
229	0.3252201278
230	0.3252077806
231	0.325176894
232	0.3251653981
233	0.3251568262
234	0.3251338843
235	0.3251190739
236	0.3251035873
237	0.3250839425
238	0.3250579486
239	0.325045007
240	0.3250391192
241	0.3250174075
242	0.3250035198
243	0.3249962789
244	0.324982239
245	0.3249598204
246	0.3249143848
247	0.3248937386
248	0.3248614244
249	0.3248517287
250	0.3248404235
251	0.3248216443
252	0.3248075154
253	0.3247480177
254	0.3247340902
255	0.3247192293
256	0.324714666
257	0.3247025111
258	0.3246981915
259	0.3246763632
260	0.3246706758
261	0.324654239
262	0.3246402416
263	0.3246341436
264	0.3246155758
265	0.3246081485
266	0.3245845211
267	0.3245721304
268	0.3245640242
269	0.32454582
270	0.3245434575
271	0.3245329217
272	0.3245061581
273	0.3244767116
274	0.3244634002
275	0.3244298319
276	0.3244091445
277	0.3243910937
278	0.3243787484
279	0.3243640377
280	0.3243498591
281	0.324346862
282	0.3243259807
283	0.3243078831
284	0.3242978045
285	0.3242830575
286	0.3242660337
287	0.324262765
288	0.324253242
289	0.3242280683
290	0.3242058238
291	0.324201366
292	0.3241851157
293	0.3241815736
294	0.3241768608
295	0.3241479284
296	0.3241329395
297	0.3241252684
298	0.3241222258
299	0.3241123324
300	0.3240904555
301	0.3240852584
302	0.3240601229
303	0.3240299311
304	0.3240249329
305	0.3240210937
306	0.3240107004
307	0.3240032468
308	0.323974292
309	0.3239362785
310	0.3238950688
311	0.3238874107
312	0.3238771571
313	0.3238541588
314	0.3238465701
315	0.3238422339
316	0.3238325313
317	0.3238298012
318	0.3238206431
319	0.3238079393
320	0.3237970132
321	0.323762646
322	0.3237561585
323	0.3237507594
324	0.3237478518
325	0.323739228
326	0.32372692
327	0.3237129875
328	0.3236931716
329	0.3236844774
330	0.3236732876
331	0.3236636246
332	0.3236499635
333	0.3236468785
334	0.3236408043
335	0.3236170319
336	0.323607095
337	0.3235962934
338	0.3235825294
339	0.3235548052
340	0.3235460809
