iter	Passed	Remaining
0	65	65138
1	128	64131
2	170	56797
3	206	51518
4	226	45077
5	245	40656
6	271	38488
7	332	41177
8	354	39055
9	390	38637
10	416	37461
11	469	38649
12	529	40195
13	548	38606
14	610	40079
15	639	39301
16	738	42690
17	765	41784
18	792	40919
19	837	41017
20	856	39917
21	928	41285
22	976	41472
23	1068	43469
24	1113	43433
25	1173	43964
26	1243	44800
27	1288	44727
28	1413	47329
29	1524	49296
30	1582	49474
31	1685	50981
32	1742	51064
33	1914	54387
34	1981	54622
35	2128	57000
36	2178	56690
37	2203	55778
38	2257	55619
39	2337	56088
40	2420	56615
41	2482	56617
42	2546	56677
43	2587	56218
44	2620	55606
45	2666	55306
46	2710	54964
47	2766	54871
48	2818	54699
49	2876	54658
50	2971	55294
51	3016	54984
52	3058	54642
53	3148	55164
54	3224	55410
55	3282	55330
56	3330	55091
57	3383	54948
58	3441	54889
59	3490	54682
60	3571	54971
61	3654	55286
62	3706	55133
63	3765	55076
64	3825	55022
65	3876	54861
66	3924	54644
67	3968	54397
68	4005	54043
69	4056	53897
70	4113	53825
71	4173	53785
72	4213	53506
73	4261	53321
74	4305	53101
75	4369	53123
76	4424	53034
77	4442	52507
78	4482	52263
79	4540	52220
80	4597	52156
81	4732	52975
82	4780	52819
83	4842	52800
84	4910	52856
85	4958	52700
86	4989	52363
87	5020	52026
88	5108	52294
89	5171	52287
90	5219	52140
91	5329	52600
92	5391	52581
93	5443	52466
94	5507	52464
95	5566	52416
96	5613	52258
97	5653	52033
98	5709	51964
99	5752	51776
100	5785	51493
101	5817	51220
102	5911	51486
103	5975	51481
104	6027	51378
105	6060	51113
106	6092	50850
107	6124	50587
108	6169	50428
109	6222	50348
110	6274	50249
111	6324	50143
112	6385	50126
113	6434	50005
114	6545	50371
115	6604	50330
116	6655	50230
117	6705	50119
118	6765	50087
119	6819	50006
120	6877	49963
121	6924	49831
122	6976	49744
123	7016	49569
124	7131	49923
125	7199	49938
126	7258	49897
127	7313	49821
128	7322	49438
129	7364	49287
